corruption,persistence_relative_gap_macro_auroc,confidence_relative_gap_macro_auroc,persistence_responsive_macro_auroc,persistence_reference_macro_auroc,direct_confidence_mean_macro_auroc,direct_confidence_max_macro_auroc
gaussian_blur,0.74545280000000003,0.67295360000000004,0.60701119999999997,0.70769280000000001,0.48906559999999999,0.79477280000000006
gaussian_noise,0.72690239999999995,0.60787839999999993,0.54212480000000007,0.71470400000000001,0.40836480000000003,0.76157920000000001
shot_noise,0.72120319999999993,0.60078720000000008,0.50822719999999999,0.71462399999999993,0.41783360000000008,0.75558560000000008
impulse_noise,0.74229120000000004,0.62575999999999998,0.528528,0.73344160000000003,0.42181119999999994,0.77589280000000005
defocus_blur,0.67098880000000016,0.59768319999999997,0.50077119999999997,0.64827839999999992,0.48867519999999998,0.74226080000000005
glass_blur,0.72342400000000007,0.67491200000000007,0.51675199999999999,0.69623040000000003,0.52687359999999994,0.80720799999999993
motion_blur,0.68698879999999996,0.59721599999999997,0.49388159999999992,0.66733759999999998,0.46259839999999997,0.73195520000000003
zoom_blur,0.84356799999999998,0.67992319999999995,0.46223359999999997,0.83165119999999992,0.46932799999999997,0.85984640000000001
snow,0.69483519999999999,0.59216960000000007,0.47454400000000002,0.68944320000000003,0.42633280000000007,0.75322239999999996
frost,0.61713280000000004,0.58650880000000005,0.45182399999999995,0.62523519999999988,0.49186560000000001,0.69148959999999993
fog,0.53201599999999993,0.54146879999999997,0.49839679999999997,0.52720640000000007,0.52142080000000002,0.55521120000000002
brightness,0.5123008,0.51445760000000007,0.48626880000000006,0.51947200000000004,0.48870400000000008,0.54121439999999998
contrast,0.60244160000000002,0.57618559999999996,0.51487360000000004,0.58741439999999989,0.50932480000000002,0.64553760000000016
elastic_transform,0.5389216,0.58313919999999997,0.45074560000000002,0.56403199999999998,0.52489920000000012,0.67079359999999999
pixelate,0.7381504000000001,0.69928639999999997,0.37124480000000004,0.76354239999999995,0.56384959999999995,0.78256159999999997
jpeg_compression,0.67354239999999999,0.60963519999999993,0.41651520000000009,0.69422079999999997,0.45881920000000004,0.7524048000000001
speckle_noise,0.63575680000000001,0.55518719999999999,0.4293824,0.65700160000000007,0.4465152,0.68030400000000002
spatter,0.63078400000000001,0.57970240000000006,0.50092000000000003,0.60342400000000007,0.48723840000000002,0.68415999999999999
saturate,0.51724800000000004,0.52063039999999994,0.4715008,0.53109760000000006,0.49456640000000007,0.5434848000000001
