class,n,mean_unc,std_unc
15,12,1.00352,0.33730
61,29,1.00495,0.48712
38,7,1.02794,0.51854
4,36,1.09845,0.71622
59,8,1.10986,0.33797
68,7,1.13302,0.54782
54,38,1.15461,0.40834
50,28,1.19417,0.41235
47,56,1.24835,0.55725
23,30,1.27652,0.85851
16,31,1.30527,0.87142
19,88,1.31053,0.61992
79,10,1.31075,0.53750
51,45,1.31313,0.56888
17,34,1.34223,0.54843
49,64,1.34411,0.64987
52,6,1.34797,0.40344
73,40,1.34979,0.54010
30,12,1.37582,0.54374
48,23,1.37593,0.54310
69,9,1.38159,0.47674
0,1026,1.38632,0.50928
58,38,1.40402,0.69611
9,69,1.43458,0.42539
71,35,1.43784,0.58567
74,14,1.44170,1.30384
24,26,1.44845,0.54506
22,35,1.47391,0.81523
26,32,1.47877,0.65756
72,9,1.48319,0.67276
6,15,1.49083,0.72779
29,12,1.49163,1.12910
55,35,1.49194,0.51635
10,8,1.50011,0.62902
62,28,1.51397,0.71258
45,51,1.51508,0.55311
35,8,1.51582,0.42682
42,18,1.52492,0.76449
20,15,1.53544,0.61520
46,38,1.54953,0.76935
11,11,1.55171,0.49549
41,62,1.59921,0.60322
63,22,1.60171,0.69205
39,92,1.61411,0.94254
2,182,1.63078,0.70692
77,58,1.64445,0.74205
1,13,1.64932,0.70707
60,51,1.67062,0.68063
53,19,1.68157,0.86195
33,18,1.68581,0.76501
56,123,1.70575,0.83082
34,12,1.71495,0.82855
7,35,1.71726,1.06602
36,32,1.73690,0.84576
28,13,1.76267,0.44222
67,29,1.77279,0.78462
8,46,1.81889,0.86246
25,33,1.84665,0.75220
75,21,1.84970,0.72444
21,3,1.86074,1.33489
57,28,1.90596,1.10743
44,19,1.92693,0.77031
43,44,1.97292,0.98455
13,49,1.98525,0.86585
3,28,2.00446,0.87851
27,18,2.00714,0.92373
66,8,2.01644,0.99746
40,28,2.06082,0.71358
18,17,2.11042,0.72056
31,12,2.16838,0.75957
12,16,2.18132,1.04302
65,17,2.19611,0.92679
14,66,2.36217,1.11750
32,12,2.36935,0.97022
64,3,2.65697,1.38914
5,35,2.80384,1.80080
37,29,2.99858,1.32651
